size,path
700,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Stratford#2023-10-30 21:08:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Bronx#2023-10-30 21:59:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Boston#2023-10-30 21:38:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Worcester#2023-10-30 20:57:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Suffern#2023-10-30 22:10:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Farmingdale#2023-10-30 22:27:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Bethany#2023-10-30 21:06:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Newark#2023-10-30 22:21:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49/3#Norwich#2023-10-30 19:58:00+00:00/3#Southborough#2023-10-30 21:14:00
